date,model,is_debiased,chuck_size,data_size,epoch,accuracy,perplexity
2024-04-21,camembert,false,50000,128,1,0.637666540579162,6.6245832443237305
2024-04-21,camembert,false,50000,128,2,0.6457055214723927,6.2737321853637695
2024-04-21,camembert,false,50000,128,3,0.6426088049260671,6.354032039642334
2024-04-21,camembert,false,50000,128,4,0.6532907991940899,5.858041763305664
2024-04-21,camembert,false,40000,64,1,0.5920891956464029,9.003861427307129
2024-04-21,camembert,false,40000,64,2,0.5932849459558248,8.723727226257324
2024-04-21,camembert,false,40000,64,3,0.5989299257181445,8.213237762451172
2024-04-21,camembert,false,40000,64,4,0.6005399511967188,8.282480239868164
2024-04-21,camembert,true,50000,128,1,0.12730635060732148,462.32061767578125
2024-04-21,camembert,true,50000,128,2,0.6245232963024374,7.271919250488281
2024-04-21,camembert,true,50000,128,3,0.6287437691115486,7.007530689239502
2024-04-21,camembert,true,50000,128,4,0.6397750167897918,6.414246082305908
2024-04-21,camembert,true,40000,64,1,0.03695248208123175,1529.6441650390625
2024-04-21,camembert,true,40000,64,2,0.11701738812594642,540.9517822265625
2024-04-21,camembert,true,40000,64,3,0.5520752168718508,11.687743186950684
2024-04-21,camembert,true,40000,64,4,0.5649239395670007,10.945613861083984

2024-05-05,camembert_word,false,50000,128,1,0.6387297805068047,6.468367576599121
2024-05-05,camembert_word,false,50000,128,2,0.6473122221713029,6.097570419311523
2024-05-05,camembert_word,false,50000,128,3,0.6521918372955888,5.951090335845947
2024-05-05,camembert_word,false,50000,128,4,0.6543130697695726,5.938989162445068
2024-05-05,camembert_word,true,50000,128,1,0.6290152591302755,6.946046829223633
2024-05-05,camembert_word,true,50000,128,2,0.6421337243939325,6.309454441070557
2024-05-05,camembert_word,true,50000,128,3,0.6475653886674911,6.11801815032959
2024-05-05,camembert_word,true,50000,128,4,0.64858674240689,6.124805927276611
2024-05-05,camembert_v2_word,true,50000,128,1,0.04884754616688815,1044.8515625
2024-05-05,camembert_v2_word,true,50000,128,2,0.052243251913294535,958.8453369140625
2024-05-05,camembert_v2_word,true,50000,128,3,0.08093994778067885,645.7357177734375
2024-05-05,camembert_v2_word,true,50000,128,4,0.10014201291859454,544.116455078125
